numeric,都道府県名,総数,全人口_年齢性別判明分,0歳から4歳,5歳から9歳,10歳から14歳,15歳から19歳,20歳から24歳,25歳から29歳,30歳から34歳,35歳から39歳,40歳から44歳,45歳から49歳,50歳から54歳,55歳から59歳,60歳から64歳,65歳から69歳,70歳から74歳,75歳から79歳,80歳から84歳,85歳から89歳,90歳から94歳,95歳から99歳,100歳以上,全人口_VD_vac,12歳未満_VD_vac,12歳以上_VD_vac,12歳から64歳_VD_vac,64歳以下_VD_vac,65歳以上_VD_vac,12歳から19歳_VD_vac,20代_VD_vac,30代_VD_vac,40代_VD_vac,50代_VD_vac,60歳から64歳_VD_vac,65歳から69歳_VD_vac,70代_VD_vac,80代_VD_vac,90代_VD_vac,100歳以上_VD_vac,全人口_VD_jp,10歳未満_VD_jp,10代_VD_jp,20代_VD_jp,30代_VD_jp,40代_VD_jp,50代_VD_jp,60代_VD_jp,70代_VD_jp,80代_VD_jp,90代_VD_jp,100歳以上_VD_jp,80歳以上_VD_jp
1.0,北海道,5228732,5226603,163053,191324,206274,220374,229785,231610,252800,293077,339246,394320,351510,345760,338612,394130,429532,307187,246784,175632,86277,25458,3858,5226603,436880,4789723,3120865,3557745,1668858,344145,461395,545877,733566,697270,338612,394130,736719,422416,111735,3858,5226603,354377,426648,461395,545877,733566,697270,732742,736719,422416,111735,3858,538009
2.0,青森県,1260067,1259615,38423,44932,49399,55055,49729,49263,55090,67662,78115,88559,84192,86858,91769,102630,106429,73827,62831,47140,21412,5601,699,1259615,103112,1156503,735934,839046,420569,84697,98992,122752,166674,171050,91769,102630,180256,109971,27013,699,1259615,83355,104454,98992,122752,166674,171050,194399,180256,109971,27013,699,137683
3.0,岩手県,1221205,1220823,37893,45814,50623,54419,49133,49345,54967,66008,76300,84080,77426,80933,85933,96420,97298,70160,63518,48522,24328,6787,916,1220823,103959,1116864,708915,812874,407949,84790,98478,120975,160380,158359,85933,96420,167458,112040,31115,916,1220823,83707,105042,98478,120975,160380,158359,182353,167458,112040,31115,916,144071
4.0,宮城県,2282106,2281989,80065,93466,98615,104783,113335,112247,124393,143432,158880,171908,148703,142556,145175,161016,164186,112709,93041,68356,34218,9547,1358,2281989,212976,2069013,1424582,1637558,644431,163953,225582,267825,330788,291259,145175,161016,276895,161397,43765,1358,2281989,173531,203398,225582,267825,330788,291259,306191,276895,161397,43765,1358,206520
5.0,秋田県,971604,971288,25524,31730,36488,38987,34081,33424,39486,49499,59121,63783,58882,65032,73522,84357,87202,59851,55985,44765,22803,5999,767,971288,71849,899439,537710,609559,361729,60880,67505,88985,122904,123914,73522,84357,147053,100750,28802,767,971288,57254,75475,67505,88985,122904,123914,157879,147053,100750,28802,767,130319
6.0,山形県,1070017,1069562,34381,40941,45351,48889,44153,42242,49288,58422,66704,70141,64305,68965,75794,84874,86238,59829,54339,43293,23876,6657,880,1069562,93464,976098,616112,709576,359986,76098,86395,107710,136845,133270,75794,84874,146067,97632,30533,880,1069562,75322,94240,86395,107710,136845,133270,160668,146067,97632,30533,880,129045
7.0,福島県,1862777,1862059,63108,72110,78300,87314,83797,83031,91866,104138,116998,127928,115694,122398,132834,146606,142924,98822,84159,64912,34212,9575,1333,1862059,166536,1695523,1112980,1279516,582543,134296,166828,196004,244926,238092,132834,146606,241746,149071,43787,1333,1862059,135218,165614,166828,196004,244926,238092,279440,241746,149071,43787,1333,194191
8.0,茨城県,2907678,2907675,99487,116832,127230,135415,142372,138356,150808,171708,192666,224605,196758,180326,180475,208311,225456,164008,121475,78868,39414,11489,1616,2907675,267211,2640464,1789827,2057038,850637,211753,280728,322516,417271,377084,180475,208311,389464,200343,50903,1616,2907675,216319,262645,280728,322516,417271,377084,388786,389464,200343,50903,1616,252862
9.0,栃木県,1955402,1955401,67909,79400,86250,90898,92866,93318,103268,117803,132771,151767,130418,121530,124172,141813,151658,102788,77135,53427,27122,8034,1054,1955401,181809,1773592,1210561,1392370,563031,142648,186184,221071,284538,251948,124172,141813,254446,130562,35156,1054,1955401,147309,177148,186184,221071,284538,251948,265985,254446,130562,35156,1054,166772
10.0,群馬県,1958185,1958101,66286,77332,86364,93666,98707,92967,97072,109723,128270,152385,133927,121865,117345,134746,154478,111474,83200,58022,30196,8744,1332,1958101,178166,1779935,1197743,1375909,582192,145482,191674,206795,280655,255792,117345,134746,265952,141222,38940,1332,1958101,143618,180030,191674,206795,280655,255792,252091,265952,141222,38940,1332,181494
11.0,埼玉県,7393849,7393799,268665,302458,319212,332100,388355,396488,409063,457649,516654,623303,549834,466542,403774,447991,538285,416168,296553,169822,69119,18835,2929,7393799,698805,6694994,4735292,5434097,1959702,523630,784843,866712,1139957,1016376,403774,447991,954453,466375,87954,2929,7393799,571123,651312,784843,866712,1139957,1016376,851765,954453,466375,87954,2929,557258
12.0,千葉県,6322897,6322892,225871,254305,270050,282950,331540,334320,346450,389501,434714,522268,464298,396073,348751,388704,467326,358758,259462,157701,68239,18739,2872,6322892,588192,5734700,4012899,4601091,1721801,444984,665860,735951,956982,860371,348751,388704,826084,417163,86978,2872,6322892,480176,553000,665860,735951,956982,860371,737455,826084,417163,86978,2872,507013
