,code_pref,code_MIC,type,prefecture_j,prefecture_s,prefecture_en,prefecture_kana,cities,cities_kana,vaccine_pop,政令指定都市
0,0.0,0.0,その他,全国,全国,ALL,ゼンコク,,,False,False
1,1.0,10006.0,都道府県,北海道,北海道,Hokkaido,ホッカイドウ,,,False,False
2,2.0,20001.0,都道府県,青森県,青森,Aomori,アオモリケン,,,False,False
3,3.0,30007.0,都道府県,岩手県,岩手,Iwate,イワテケン,,,False,False
4,4.0,40002.0,都道府県,宮城県,宮城,Miyagi,ミヤギケン,,,False,False
5,5.0,50008.0,都道府県,秋田県,秋田,Akita,アキタケン,,,False,False
6,6.0,60003.0,都道府県,山形県,山形,Yamagata,ヤマガタケン,,,False,False
7,7.0,70009.0,都道府県,福島県,福島,Fukushima,フクシマケン,,,False,False
8,8.0,80004.0,都道府県,茨城県,茨城,Ibaraki,イバラキケン,,,False,False
9,9.0,90000.0,都道府県,栃木県,栃木,Tochigi,トチギケン,,,False,False
10,10.0,100005.0,都道府県,群馬県,群馬,Gunma,グンマケン,,,False,False
11,11.0,110001.0,都道府県,埼玉県,埼玉,Saitama,サイタマケン,,,False,False
12,12.0,120006.0,都道府県,千葉県,千葉,Chiba,チバケン,,,False,False
13,13.0,130001.0,都道府県,東京都,東京,Tokyo,トウキョウト,,,False,False
14,14.0,140007.0,都道府県,神奈川県,神奈川,Kanagawa,カナガワケン,,,False,False
15,15.0,150002.0,都道府県,新潟県,新潟,Niigata,ニイガタケン,,,False,False
16,16.0,160008.0,都道府県,富山県,富山,Toyama,トヤマケン,,,False,False
17,17.0,170003.0,都道府県,石川県,石川,Ishikawa,イシカワケン,,,False,False
18,18.0,180009.0,都道府県,福井県,福井,Fukui,フクイケン,,,False,False
19,19.0,190004.0,都道府県,山梨県,山梨,Yamanashi,ヤマナシケン,,,False,False
20,20.0,200000.0,都道府県,長野県,長野,Nagano,ナガノケン,,,False,False
21,21.0,210005.0,都道府県,岐阜県,岐阜,Gifu,ギフケン,,,False,False
22,22.0,220001.0,都道府県,静岡県,静岡,Shizuoka,シズオカケン,,,False,False
23,23.0,230006.0,都道府県,愛知県,愛知,Aichi,アイチケン,,,False,False
24,24.0,240001.0,都道府県,三重県,三重,Mie,ミエケン,,,False,False
25,25.0,250007.0,都道府県,滋賀県,滋賀,Shiga,シガケン,,,False,False
26,26.0,260002.0,都道府県,京都府,京都,Kyoto,キョウトフ,,,False,False
27,27.0,270008.0,都道府県,大阪府,大阪,Osaka,オオサカフ,,,False,False
28,28.0,280003.0,都道府県,兵庫県,兵庫,Hyogo,ヒョウゴケン,,,False,False
29,29.0,290009.0,都道府県,奈良県,奈良,Nara,ナラケン,,,False,False
30,30.0,300004.0,都道府県,和歌山県,和歌山,Wakayama,ワカヤマケン,,,False,False
31,31.0,310000.0,都道府県,鳥取県,鳥取,Tottori,トットリケン,,,False,False
32,32.0,320005.0,都道府県,島根県,島根,Shimane,シマネケン,,,False,False
33,33.0,330001.0,都道府県,岡山県,岡山,Okayama,オカヤマケン,,,False,False
34,34.0,340006.0,都道府県,広島県,広島,Hiroshima,ヒロシマケン,,,False,False
35,35.0,350001.0,都道府県,山口県,山口,Yamaguchi,ヤマグチケン,,,False,False
36,36.0,360007.0,都道府県,徳島県,徳島,Tokushima,トクシマケン,,,False,False
37,37.0,370002.0,都道府県,香川県,香川,Kagawa,カガワケン,,,False,False
38,38.0,380008.0,都道府県,愛媛県,愛媛,Ehime,エヒメケン,,,False,False
39,39.0,390003.0,都道府県,高知県,高知,Kochi,コウチケン,,,False,False
40,40.0,400009.0,都道府県,福岡県,福岡,Fukuoka,フクオカケン,,,False,False
41,41.0,410004.0,都道府県,佐賀県,佐賀,Saga,サガケン,,,False,False
42,42.0,420000.0,都道府県,長崎県,長崎,Nagasaki,ナガサキケン,,,False,False
43,43.0,430005.0,都道府県,熊本県,熊本,Kumamoto,クマモトケン,,,False,False
44,44.0,440001.0,都道府県,大分県,大分,Oita,オオイタケン,,,False,False
45,45.0,450006.0,都道府県,宮崎県,宮崎,Miyazaki,ミヤザキケン,,,False,False
46,46.0,460001.0,都道府県,鹿児島県,鹿児島,Kagoshima,カゴシマケン,,,False,False
