code_pref,code_MIC,type,prefecture_j,prefecture_s,prefecture_en,prefecture_kana,area
1.0,10006.0,都道府県,北海道,北海道,Hokkaido,ホッカイドウ,北海道・東北
2.0,20001.0,都道府県,青森県,青森,Aomori,アオモリケン,北海道・東北
3.0,30007.0,都道府県,岩手県,岩手,Iwate,イワテケン,北海道・東北
4.0,40002.0,都道府県,宮城県,宮城,Miyagi,ミヤギケン,北海道・東北
5.0,50008.0,都道府県,秋田県,秋田,Akita,アキタケン,北海道・東北
6.0,60003.0,都道府県,山形県,山形,Yamagata,ヤマガタケン,北海道・東北
7.0,70009.0,都道府県,福島県,福島,Fukushima,フクシマケン,北海道・東北
8.0,80004.0,都道府県,茨城県,茨城,Ibaraki,イバラキケン,関東
9.0,90000.0,都道府県,栃木県,栃木,Tochigi,トチギケン,関東
10.0,100005.0,都道府県,群馬県,群馬,Gunma,グンマケン,関東
11.0,110001.0,都道府県,埼玉県,埼玉,Saitama,サイタマケン,関東
12.0,120006.0,都道府県,千葉県,千葉,Chiba,チバケン,関東
13.0,130001.0,都道府県,東京都,東京,Tokyo,トウキョウト,関東
14.0,140007.0,都道府県,神奈川県,神奈川,Kanagawa,カナガワケン,関東
15.0,150002.0,都道府県,新潟県,新潟,Niigata,ニイガタケン,関東
16.0,160008.0,都道府県,富山県,富山,Toyama,トヤマケン,東海・北陸
17.0,170003.0,都道府県,石川県,石川,Ishikawa,イシカワケン,東海・北陸
18.0,180009.0,都道府県,福井県,福井,Fukui,フクイケン,東海・北陸
19.0,190004.0,都道府県,山梨県,山梨,Yamanashi,ヤマナシケン,関東
20.0,200000.0,都道府県,長野県,長野,Nagano,ナガノケン,関東
21.0,210005.0,都道府県,岐阜県,岐阜,Gifu,ギフケン,東海・北陸
22.0,220001.0,都道府県,静岡県,静岡,Shizuoka,シズオカケン,東海・北陸
23.0,230006.0,都道府県,愛知県,愛知,Aichi,アイチケン,東海・北陸
24.0,240001.0,都道府県,三重県,三重,Mie,ミエケン,東海・北陸
25.0,250007.0,都道府県,滋賀県,滋賀,Shiga,シガケン,近畿
26.0,260002.0,都道府県,京都府,京都,Kyoto,キョウトフ,近畿
27.0,270008.0,都道府県,大阪府,大阪,Osaka,オオサカフ,近畿
28.0,280003.0,都道府県,兵庫県,兵庫,Hyogo,ヒョウゴケン,近畿
29.0,290009.0,都道府県,奈良県,奈良,Nara,ナラケン,近畿
30.0,300004.0,都道府県,和歌山県,和歌山,Wakayama,ワカヤマケン,近畿
31.0,310000.0,都道府県,鳥取県,鳥取,Tottori,トットリケン,中国・四国
32.0,320005.0,都道府県,島根県,島根,Shimane,シマネケン,中国・四国
33.0,330001.0,都道府県,岡山県,岡山,Okayama,オカヤマケン,中国・四国
34.0,340006.0,都道府県,広島県,広島,Hiroshima,ヒロシマケン,中国・四国
35.0,350001.0,都道府県,山口県,山口,Yamaguchi,ヤマグチケン,中国・四国
36.0,360007.0,都道府県,徳島県,徳島,Tokushima,トクシマケン,中国・四国
37.0,370002.0,都道府県,香川県,香川,Kagawa,カガワケン,中国・四国
38.0,380008.0,都道府県,愛媛県,愛媛,Ehime,エヒメケン,中国・四国
39.0,390003.0,都道府県,高知県,高知,Kochi,コウチケン,中国・四国
40.0,400009.0,都道府県,福岡県,福岡,Fukuoka,フクオカケン,九州・沖縄
41.0,410004.0,都道府県,佐賀県,佐賀,Saga,サガケン,九州・沖縄
42.0,420000.0,都道府県,長崎県,長崎,Nagasaki,ナガサキケン,九州・沖縄
43.0,430005.0,都道府県,熊本県,熊本,Kumamoto,クマモトケン,九州・沖縄
44.0,440001.0,都道府県,大分県,大分,Oita,オオイタケン,九州・沖縄
45.0,450006.0,都道府県,宮崎県,宮崎,Miyazaki,ミヤザキケン,九州・沖縄
46.0,460001.0,都道府県,鹿児島県,鹿児島,Kagoshima,カゴシマケン,九州・沖縄
47.0,470007.0,都道府県,沖縄県,沖縄,Okinawa,オキナワケン,九州・沖縄
