code_MIC,code_pref,prefecture_j,prefecture_s,prefecture_en,12歳から64歳,12歳以上,64歳以下,65歳以上,全人口,12歳未満,12～19歳,20歳代,30歳代,40歳代,50歳代,60～64歳,65～69歳,70歳代,80歳代,90歳代,100歳以上,0歳から4歳,5歳から9歳,10歳から14歳,15歳から19歳,20歳から24歳,25歳から29歳,30歳から34歳,35歳から39歳,40歳から44歳,45歳から49歳,50歳から54歳,55歳から59歳,60歳から64歳,65歳から69歳,70歳から74歳,75歳から79歳,80歳から84歳,85歳から89歳,90歳から94歳,95歳から99歳,100歳以上.1
0.0,0.0,全国,全国,ALL,78849722.0,114617716.0,90877031.0,35767994.0,126645025.0,12027309.0,9010292.0,12819569.0,14372705.0,18424463.0,16810584.0,7412109.0,8098283.0,16227232.0,9058480.0,2303363.0,80636.0,4621243.0,5211654.0,5486075.0,5718629.0,6376817.0,6442752.0,6775050.0,7597655.0,8503905.0,9920558.0,8801840.0,8008744.0,7412109.0,8098283.0,9337065.0,6890167.0,5356363.0,3702117.0,1782079.0,521284.0,80636.0
10006.0,1.0,北海道,北海道,Hokkaido,3120865.0,4789723.0,3557745.0,1668858.0,5226603.0,436880.0,344145.0,461395.0,545877.0,733566.0,697270.0,338612.0,394130.0,736719.0,422416.0,111735.0,3858.0,163053.0,191324.0,206274.0,220374.0,229785.0,231610.0,252800.0,293077.0,339246.0,394320.0,351510.0,345760.0,338612.0,394130.0,429532.0,307187.0,246784.0,175632.0,86277.0,25458.0,3858.0
20001.0,2.0,青森県,青森,Aomori,735934.0,1156503.0,839046.0,420569.0,1259615.0,103112.0,84697.0,98992.0,122752.0,166674.0,171050.0,91769.0,102630.0,180256.0,109971.0,27013.0,699.0,38423.0,44932.0,49399.0,55055.0,49729.0,49263.0,55090.0,67662.0,78115.0,88559.0,84192.0,86858.0,91769.0,102630.0,106429.0,73827.0,62831.0,47140.0,21412.0,5601.0,699.0
30007.0,3.0,岩手県,岩手,Iwate,708915.0,1116864.0,812874.0,407949.0,1220823.0,103959.0,84790.0,98478.0,120975.0,160380.0,158359.0,85933.0,96420.0,167458.0,112040.0,31115.0,916.0,37893.0,45814.0,50623.0,54419.0,49133.0,49345.0,54967.0,66008.0,76300.0,84080.0,77426.0,80933.0,85933.0,96420.0,97298.0,70160.0,63518.0,48522.0,24328.0,6787.0,916.0
40002.0,4.0,宮城県,宮城,Miyagi,1424582.0,2069013.0,1637558.0,644431.0,2281989.0,212976.0,163953.0,225582.0,267825.0,330788.0,291259.0,145175.0,161016.0,276895.0,161397.0,43765.0,1358.0,80065.0,93466.0,98615.0,104783.0,113335.0,112247.0,124393.0,143432.0,158880.0,171908.0,148703.0,142556.0,145175.0,161016.0,164186.0,112709.0,93041.0,68356.0,34218.0,9547.0,1358.0
50008.0,5.0,秋田県,秋田,Akita,537710.0,899439.0,609559.0,361729.0,971288.0,71849.0,60880.0,67505.0,88985.0,122904.0,123914.0,73522.0,84357.0,147053.0,100750.0,28802.0,767.0,25524.0,31730.0,36488.0,38987.0,34081.0,33424.0,39486.0,49499.0,59121.0,63783.0,58882.0,65032.0,73522.0,84357.0,87202.0,59851.0,55985.0,44765.0,22803.0,5999.0,767.0
60003.0,6.0,山形県,山形,Yamagata,616112.0,976098.0,709576.0,359986.0,1069562.0,93464.0,76098.0,86395.0,107710.0,136845.0,133270.0,75794.0,84874.0,146067.0,97632.0,30533.0,880.0,34381.0,40941.0,45351.0,48889.0,44153.0,42242.0,49288.0,58422.0,66704.0,70141.0,64305.0,68965.0,75794.0,84874.0,86238.0,59829.0,54339.0,43293.0,23876.0,6657.0,880.0
70009.0,7.0,福島県,福島,Fukushima,1112980.0,1695523.0,1279516.0,582543.0,1862059.0,166536.0,134296.0,166828.0,196004.0,244926.0,238092.0,132834.0,146606.0,241746.0,149071.0,43787.0,1333.0,63108.0,72110.0,78300.0,87314.0,83797.0,83031.0,91866.0,104138.0,116998.0,127928.0,115694.0,122398.0,132834.0,146606.0,142924.0,98822.0,84159.0,64912.0,34212.0,9575.0,1333.0
80004.0,8.0,茨城県,茨城,Ibaraki,1789827.0,2640464.0,2057038.0,850637.0,2907675.0,267211.0,211753.0,280728.0,322516.0,417271.0,377084.0,180475.0,208311.0,389464.0,200343.0,50903.0,1616.0,99487.0,116832.0,127230.0,135415.0,142372.0,138356.0,150808.0,171708.0,192666.0,224605.0,196758.0,180326.0,180475.0,208311.0,225456.0,164008.0,121475.0,78868.0,39414.0,11489.0,1616.0
90000.0,9.0,栃木県,栃木,Tochigi,1210561.0,1773592.0,1392370.0,563031.0,1955401.0,181809.0,142648.0,186184.0,221071.0,284538.0,251948.0,124172.0,141813.0,254446.0,130562.0,35156.0,1054.0,67909.0,79400.0,86250.0,90898.0,92866.0,93318.0,103268.0,117803.0,132771.0,151767.0,130418.0,121530.0,124172.0,141813.0,151658.0,102788.0,77135.0,53427.0,27122.0,8034.0,1054.0
100005.0,10.0,群馬県,群馬,Gunma,1197743.0,1779935.0,1375909.0,582192.0,1958101.0,178166.0,145482.0,191674.0,206795.0,280655.0,255792.0,117345.0,134746.0,265952.0,141222.0,38940.0,1332.0,66286.0,77332.0,86364.0,93666.0,98707.0,92967.0,97072.0,109723.0,128270.0,152385.0,133927.0,121865.0,117345.0,134746.0,154478.0,111474.0,83200.0,58022.0,30196.0,8744.0,1332.0
110001.0,11.0,埼玉県,埼玉,Saitama,4735292.0,6694994.0,5434097.0,1959702.0,7393799.0,698805.0,523630.0,784843.0,866712.0,1139957.0,1016376.0,403774.0,447991.0,954453.0,466375.0,87954.0,2929.0,268665.0,302458.0,319212.0,332100.0,388355.0,396488.0,409063.0,457649.0,516654.0,623303.0,549834.0,466542.0,403774.0,447991.0,538285.0,416168.0,296553.0,169822.0,69119.0,18835.0,2929.0
120006.0,12.0,千葉県,千葉,Chiba,4012899.0,5734700.0,4601091.0,1721801.0,6322892.0,588192.0,444984.0,665860.0,735951.0,956982.0,860371.0,348751.0,388704.0,826084.0,417163.0,86978.0,2872.0,225871.0,254305.0,270050.0,282950.0,331540.0,334320.0,346450.0,389501.0,434714.0,522268.0,464298.0,396073.0,348751.0,388704.0,467326.0,358758.0,259462.0,157701.0,68239.0,18739.0,2872.0
130001.0,13.0,東京都,東京,Tokyo,9421058.0,12559593.0,10704794.0,3138535.0,13843329.0,1283736.0,852155.0,1734132.0,1946804.0,2230622.0,1956841.0,700504.0,679769.0,1435198.0,825115.0,191812.0,6641.0,528572.0,543911.0,528135.0,535273.0,785532.0,948600.0,943139.0,1003665.0,1056837.0,1173785.0,1061006.0,895835.0,700504.0,679769.0,807883.0,627315.0,489134.0,335981.0,149458.0,42354.0,6641.0
140007.0,14.0,神奈川県,神奈川,Kanagawa,6021651.0,8348937.0,6892920.0,2327286.0,9220206.0,871269.0,646132.0,1001336.0,1091022.0,1441087.0,1346799.0,495275.0,510479.0,1098776.0,586815.0,126901.0,4315.0,337183.0,376326.0,394394.0,409498.0,493086.0,508250.0,513330.0,577692.0,655206.0,785881.0,730881.0,615918.0,495275.0,510479.0,615860.0,482916.0,359437.0,227378.0,98983.0,27918.0,4315.0
150002.0,15.0,新潟県,新潟,Niigata,1298343.0,2018601.0,1492916.0,720258.0,2213174.0,194573.0,153885.0,189113.0,226810.0,300391.0,282450.0,145694.0,167548.0,305831.0,188295.0,56516.0,2068.0,71859.0,85556.0,92893.0,98150.0,95914.0,93199.0,104982.0,121828.0,142232.0,158159.0,142267.0,140183.0,145694.0,167548.0,180761.0,125070.0,107096.0,81199.0,43282.0,13234.0,2068.0
160008.0,16.0,富山県,富山,Toyama,619512.0,955914.0,711272.0,336402.0,1047674.0,91760.0,74187.0,96002.0,104648.0,149674.0,132929.0,62072.0,71089.0,154942.0,84778.0,24720.0,873.0,34812.0,39435.0,43782.0,47918.0,49441.0,46561.0,48843.0,55805.0,66847.0,82827.0,69286.0,63643.0,62072.0,71089.0,90539.0,64403.0,48266.0,36512.0,18855.0,5865.0,873.0
